date,depth,light_incub,P_manip
,,1033.7,2.3609820266
19-06-2015,10,0,0.0792206856
,,0,0.0796903734
,,0.01,0.0782813098
,,0.01,0.0825085006
,,0.63,0.087675067
,,1.44,0.1339393211
,,2.52,0.164234188
,,5.46,0.3852223257
,,6.71,0.3983735857
,,9.47,0.5110986719
,,12.12,0.6517701857
,,20.59,0.9025835024
,,33.04,1.446716887
,,55.86,1.9523358672
,,66.93,2.2515270334
,,73.9,2.1270597508
,,92.98,
,,106.37,2.3914940154
,,126.7,2.3626082121
,,141.36,2.5765510319
,,178.64,2.4318871713
,,207.3,2.6784732973
,,259.9,2.7522142911
,,348.6,2.766070083
,,409.8,2.7848575973
,,527.1,2.7212148924
,,772.3,
,,1049,2.2799431489
19-06-2015,15,0,0.078545553
,,0,0.0801720356
,,0,0.0826117594
,,0,0.08301838
,,0.54,0.0860680348
,,0.93,0.0952169991
,,1.98,0.1255102366
,,2.84,0.1529571296
,,4.32,0.1789808503
,,5.13,0.2485129792
,,8.38,0.352404552
,,11.66,0.4105513031
,,16.49,0.5734028681
,,21.59,0.5833650737
,,35.35,1.0458960482
,,44.97,1.4832165432
,,53.4,1.1776411346
,,69.39,1.4551597192
,,82.89,1.3793249705
,,100.18,1.6487111424
,,128.61,1.8550711156
,,158.05,1.2748234668
,,196.55,1.676564656
,,234,1.7975342955
,,333.3,1.4840297845
,,459.5,1.3089796003
,,636.7,1.5991034247
,,1005.2,1.4691881312
19-06-2015,30,0,0.0818362485
,,-0.01,0.0847865682
,,0,0.0864724651
,,0,0.0871046765
,,0.57,0.0942697386
,,0.9,0.100170378
,,1.98,0.1155541878
,,2.84,0.1499043384
